Event name,Event location,Event start date,Event start time,Event timezone,Tickets sold,Paid tickets sold,Complimentary tickets sold,Add-ons sold,Currency,Gross sales,Eventbrite service fee,Eventbrite payment processing fee,Eventbrite tax,Organizer tax,Royalty,Ticket revenue,Add-ons revenue,Ticket + add-ons revenue,Net sales
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-10,13:00:00,America/New_York,30,0,30,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-12,18:00:00,America/New_York,20,0,20,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-16,12:00:00,America/New_York,29,0,29,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-17,13:00:00,America/New_York,18,0,18,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-19,18:00:00,America/New_York,13,0,13,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-23,12:00:00,America/New_York,22,0,22,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-24,13:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-26,18:00:00,America/New_York,6,0,6,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-30,12:00:00,America/New_York,14,0,14,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-31,13:00:00,America/New_York,16,0,16,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-02,18:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-06,12:00:00,America/New_York,19,0,19,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-07,13:00:00,America/New_York,6,0,6,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-09,18:00:00,America/New_York,19,0,19,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-13,12:00:00,America/New_York,8,0,8,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-14,13:00:00,America/New_York,13,0,13,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-16,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-20,12:00:00,America/New_York,14,0,14,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-21,13:00:00,America/New_York,7,0,7,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-23,18:00:00,America/New_York,12,0,12,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-27,12:00:00,America/New_York,12,0,12,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-28,13:00:00,America/New_York,12,0,12,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-04-30,18:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-04,12:00:00,America/New_York,13,0,13,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-05,13:00:00,America/New_York,14,0,14,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-07,18:00:00,America/New_York,12,0,12,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-11,12:00:00,America/New_York,12,0,12,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-12,13:00:00,America/New_York,4,0,4,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-14,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-18,12:00:00,America/New_York,19,0,19,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-19,13:00:00,America/New_York,16,0,16,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-21,18:00:00,America/New_York,7,0,7,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-25,12:00:00,America/New_York,14,0,14,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-26,13:00:00,America/New_York,7,0,7,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-05-28,18:00:00,America/New_York,13,0,13,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-01,12:00:00,America/New_York,9,0,9,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-02,13:00:00,America/New_York,21,0,21,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-04,18:00:00,America/New_York,15,0,15,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-08,12:00:00,America/New_York,19,0,19,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-09,13:00:00,America/New_York,9,0,9,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-11,18:00:00,America/New_York,8,0,8,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-15,12:00:00,America/New_York,28,0,28,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-16,13:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-18,18:00:00,America/New_York,8,0,8,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-22,12:00:00,America/New_York,25,0,25,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-23,13:00:00,America/New_York,15,0,15,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-25,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-29,12:00:00,America/New_York,25,0,25,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-06-30,13:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-02,18:00:00,America/New_York,23,0,23,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-06,12:00:00,America/New_York,22,0,22,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-07,13:00:00,America/New_York,9,0,9,0,USD,0,0,0,0,0,0,0,0,0,0
